service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2016-M01_A-Lun-Mer-11,1,1,1,0,0,0,0,20160329,20160406
2016-M01_APTA-Semaine-02,1,1,1,1,1,0,0,20160331,20160331
2016-M01_A-Jeu-Ven-12,0,0,0,1,1,0,0,20160401,20160408
2016-M01_A-Jeu-Ven-12-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M01_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M01_C-Dimanche-03,0,0,0,0,0,0,1,20160403,20160703
2016-M01_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M01_H-Lun-Mer-05,1,1,1,0,0,0,0,20160411,20160706
2016-M01_H-Jeu-Ven-06,0,0,0,1,1,0,0,20160414,20160708
2016-M01_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M01_A-Lun-Mer-13,1,1,1,0,0,0,0,20160425,20160705
2016-M01_A-Jeu-Ven-14,0,0,0,1,1,0,0,20160428,20160701
2016-M01_A-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M02_A-Lun-Mer-05,1,1,1,0,0,0,0,20160329,20160406
2016-M02_A-Jeu-Ven-06,0,0,0,1,1,0,0,20160401,20160408
2016-M02_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M02_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M02_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M02_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M02_H-Lun-Mer-03,1,1,1,0,0,0,0,20160411,20160706
2016-M02_H-Jeu-Ven-04,0,0,0,1,1,0,0,20160414,20160708
2016-M02_H-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M02_A-Lun-Mer-07,1,1,1,0,0,0,0,20160425,20160705
2016-M02_A-Jeu-Ven-08,0,0,0,1,1,0,0,20160428,20160701
2016-M02_A-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M03_A-Lun-Mer-13,1,1,1,0,0,0,0,20160329,20160705
2016-M03_APTA-Semaine-03,1,1,1,1,1,0,0,20160331,20160331
2016-M03_A-Jeu-Ven-14,0,0,0,1,1,0,0,20160401,20160701
2016-M03_A-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M03_B-Samedi-05,0,0,0,0,0,1,0,20160402,20160702
2016-M03_C-Dimanche-04,0,0,0,0,0,0,1,20160403,20160703
2016-M03_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M03_H-Lun-Mer-05,1,1,1,0,0,0,0,20160411,20160706
2016-M03_H-Jeu-Ven-06,0,0,0,1,1,0,0,20160414,20160708
2016-M03_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M04_A-Lun-Mer-13,1,1,1,0,0,0,0,20160329,20160705
2016-M04_APTA-Semaine-02,1,1,1,1,1,0,0,20160331,20160331
2016-M04_A-Jeu-Ven-14,0,0,0,1,1,0,0,20160401,20160701
2016-M04_A-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M04_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M04_C-Dimanche-03,0,0,0,0,0,0,1,20160403,20160703
2016-M04_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M04_H-Lun-Mer-05,1,1,1,0,0,0,0,20160411,20160706
2016-M04_H-Jeu-Ven-06,0,0,0,1,1,0,0,20160414,20160708
2016-M04_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M05_A-Lun-Mer-11,1,1,1,0,0,0,0,20160329,20160406
2016-M05_APTA-Semaine-03,1,1,1,1,1,0,0,20160331,20160331
2016-M05_A-Jeu-Ven-12,0,0,0,1,1,0,0,20160401,20160408
2016-M05_A-Jeu-Ven-12-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M05_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M05_C-Dimanche-04,0,0,0,0,0,0,1,20160403,20160703
2016-M05_B-Samedi-83,0,0,0,0,0,1,0,20160409,20160409
2016-M05_H-Lun-Mer-03,1,1,1,0,0,0,0,20160411,20160706
2016-M05_H-Jeu-Ven-04,0,0,0,1,1,0,0,20160414,20160708
2016-M05_H-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M05_A-Lun-Mer-13,1,1,1,0,0,0,0,20160425,20160705
2016-M05_A-Jeu-Ven-14,0,0,0,1,1,0,0,20160428,20160701
2016-M05_A-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M06_A-Lun-Mer-15,1,1,1,0,0,0,0,20160329,20160705
2016-M06_APTA-Semaine-02,1,1,1,1,1,0,0,20160331,20160331
2016-M06_A-Jeu-Ven-16,0,0,0,1,1,0,0,20160401,20160701
2016-M06_A-Jeu-Ven-16-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M06_B-Samedi-05,0,0,0,0,0,1,0,20160402,20160702
2016-M06_C-Dimanche-03,0,0,0,0,0,0,1,20160403,20160703
2016-M06_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M06H-Lun-Mer-07,1,1,1,0,0,0,0,20160411,20160706
2016-M06H-Jeu-Ven-08,0,0,0,1,1,0,0,20160414,20160708
2016-M06H-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M07_A-Lun-Mer-21,1,1,1,0,0,0,0,20160329,20160406
2016-M07_A-Jeu-Ven-22,0,0,0,1,1,0,0,20160331,20160408
2016-M07_A-Jeu-Ven-22-0001100,0,0,0,1,1,0,0,20160331,20160408
2016-M07_B-Samedi-07,0,0,0,0,0,1,0,20160402,20160423
2016-M07_C-Dimanche-07,0,0,0,0,0,0,1,20160403,20160424
2016-M07_H-Lun-Mer-11,1,1,1,0,0,0,0,20160411,20160706
2016-M07_H-Jeu-Ven-12,0,0,0,1,1,0,0,20160414,20160708
2016-M07_H-Jeu-Ven-12-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M07_A-Lun-Mer-19,1,1,1,0,0,0,0,20160425,20160705
2016-M07_A-Jeu-Ven-20,0,0,0,1,1,0,0,20160428,20160701
2016-M07_A-Jeu-Ven-20-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M07_B-Samedi-08,0,0,0,0,0,1,0,20160430,20160702
2016-M07_C-Dimanche-08,0,0,0,0,0,0,1,20160505,20160703
2016-M08_A-Lun-Mer-05,1,1,1,0,0,0,0,20160329,20160406
2016-M08_APTA-Semaine-01,1,1,1,1,1,0,0,20160331,20160331
2016-M08_A-Jeu-Ven-06,0,0,0,1,1,0,0,20160401,20160408
2016-M08_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M08_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M08_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M08_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M08_A-Lun-Mer-07,1,1,1,0,0,0,0,20160411,20160706
2016-M08_A-Jeu-Ven-08,0,0,0,1,1,0,0,20160414,20160708
2016-M08_A-Jeu-Ven-08-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M09_A-Lun-Mer-03,1,1,1,0,0,0,0,20160329,20160705
2016-M09_APTA-Semaine-01,1,1,1,1,1,0,0,20160331,20160331
2016-M09_A-Jeu-Ven-04,0,0,0,1,1,0,0,20160401,20160701
2016-M09_A-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M09_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M09_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M09_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M09_A-Lun-Mer-01,1,1,1,0,0,0,0,20160411,20160706
2016-M09_A-Jeu-Ven-02,0,0,0,1,1,0,0,20160414,20160708
2016-M09_A-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M10_A-Lun-Mer-09,1,1,1,0,0,0,0,20160329,20160406
2016-M10_APTA-Semaine-03,1,1,1,1,1,0,0,20160331,20160331
2016-M10_A-Jeu-Ven-10,0,0,0,1,1,0,0,20160401,20160408
2016-M10_A-Jeu-Ven-10-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M10_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M10_C-Dimanche-04,0,0,0,0,0,0,1,20160403,20160529
2016-M10_H-Lun-Mer-03,1,1,1,0,0,0,0,20160411,20160706
2016-M10_H-Jeu-Ven-04,0,0,0,1,1,0,0,20160414,20160708
2016-M10_H-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M10_C-Dimanche-03,0,0,0,0,0,0,1,20160417,20160703
2016-M10_A-Lun-Mer-13,1,1,1,0,0,0,0,20160425,20160705
2016-M10_A-Jeu-Ven-14,0,0,0,1,1,0,0,20160428,20160701
2016-M10_A-Jeu-Ven-14-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M11_A-Lun-Mer-01,1,1,1,0,0,0,0,20160329,20160406
2016-M11_APTA-Semaine-03,1,1,1,1,1,0,0,20160331,20160331
2016-M11_A-Jeu-Ven-02,0,0,0,1,1,0,0,20160401,20160408
2016-M11_A-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20160401,20160408
2016-M11_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160423
2016-M11_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160424
2016-M11_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M11_H-Lun-Mer-01,1,1,1,0,0,0,0,20160411,20160420
2016-M11_H-Jeu-Ven-02,0,0,0,1,1,0,0,20160414,20160422
2016-M11_H-Jeu-Ven-02-0001100,0,0,0,1,1,0,0,20160414,20160422
2016-M11_A-Lun-Mer-03,1,1,1,0,0,0,0,20160425,20160705
2016-M11_A-Jeu-Ven-04,0,0,0,1,1,0,0,20160428,20160701
2016-M11_A-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160428,20160701
2016-M11_B-Samedi-02,0,0,0,0,0,1,0,20160430,20160702
2016-M11_C-Dimanche-02,0,0,0,0,0,0,1,20160505,20160703
2016-M11_H-Lun-Mer-03,1,1,1,0,0,0,0,20160706,20160706
2016-M11_H-Jeu-Ven-04,0,0,0,1,1,0,0,20160707,20160708
2016-M11_H-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160707,20160708
2016-M15_A-Lun-Mer-09,1,1,1,0,0,0,0,20160329,20160705
2016-M15_APTA-Semaine-06,1,1,1,1,1,0,0,20160331,20160331
2016-M15_A-Jeu-Ven-10,0,0,0,1,1,0,0,20160401,20160701
2016-M15_A-Jeu-Ven-10-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M15_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M15_C-Dimanche-05,0,0,0,0,0,0,1,20160403,20160703
2016-M15_B-Samedi-82,0,0,0,0,0,1,0,20160409,20160409
2016-M15_H-Lun-Mer-11,1,1,1,0,0,0,0,20160411,20160706
2016-M15_H-Jeu-Ven-12,0,0,0,1,1,0,0,20160414,20160708
2016-M15_H-Jeu-Ven-12-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M16_A-Lun-Mer-05,1,1,1,0,0,0,0,20160329,20160705
2016-M16_APTA-Semaine-03,1,1,1,1,1,0,0,20160331,20160331
2016-M16_A-Jeu-Ven-06,0,0,0,1,1,0,0,20160401,20160701
2016-M16_A-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160401,20160701
2016-M16_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M16_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M16_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M16_H-Lun-Mer-05,1,1,1,0,0,0,0,20160411,20160706
2016-M16_H-Jeu-Ven-06,0,0,0,1,1,0,0,20160414,20160708
2016-M16_H-Jeu-Ven-06-0001100,0,0,0,1,1,0,0,20160414,20160708
2016-M20_A-Semaine-02,1,1,1,1,1,0,0,20160329,20160705
2016-M20_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M20_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M20_H-Semaine-01,1,1,1,1,1,0,0,20160411,20160708
2016-M23_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160705
2016-M23_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M23_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M23_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M23_H-Semaine-02,1,1,1,1,1,0,0,20160411,20160708
2016-M25_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160708
2016-M25_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M26_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160705
2016-M26_B-Samedi-06,0,0,0,0,0,1,0,20160402,20160702
2016-M26_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M26_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M26_H-Semaine-04,1,1,1,1,1,0,0,20160411,20160708
2016-M27_A-Semaine-04,1,1,1,1,1,0,0,20160329,20160705
2016-M27_APTA-Semaine-01,1,1,1,1,1,0,0,20160331,20160331
2016-M27_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M27_C-Dimanche-03,0,0,0,0,0,0,1,20160403,20160703
2016-M27_H-Semaine-05,1,1,1,1,1,0,0,20160411,20160708
2016-M29_A-Semaine-04,1,1,1,1,1,0,0,20160329,20160705
2016-M29_B-Samedi-04,0,0,0,0,0,1,0,20160402,20160702
2016-M29_C-Dimanche-03,0,0,0,0,0,0,1,20160403,20160703
2016-M29_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M29_H-Semaine-03,1,1,1,1,1,0,0,20160411,20160708
2016-M30_A2-Semaine-03,1,1,1,1,1,0,0,20160329,20160705
2016-M30_A2-Semaine-03-0000100,0,0,0,0,1,0,0,20160329,20160705
2016-M30_A2-Semaine-03-1111000,1,1,1,1,0,0,0,20160329,20160705
2016-M30_B2-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M30_C2-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M30_H2-Semaine-03,1,1,1,1,1,0,0,20160411,20160708
2016-M30_H2-Semaine-03-0000100,0,0,0,0,1,0,0,20160411,20160708
2016-M30_H2-Semaine-03-1111000,1,1,1,1,0,0,0,20160411,20160708
2016-M33_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160408
2016-M35_APTA-Semaine-01,1,1,1,1,1,0,0,20160331,20160331
2016-M33_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M33_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M33_H-Semaine-02,1,1,1,1,1,0,0,20160411,20160708
2016-M33_J-Semaine-02,1,1,1,1,1,0,0,20160425,20160705
2016-M34_A-Semaine-05,1,1,1,1,1,0,0,20160329,20160408
2016-M34_B2-Samedi-01,0,0,0,0,0,1,0,20160402,20160423
2016-M34_H-Semaine-05,1,1,1,1,1,0,0,20160411,20160708
2016-M34_A-Semaine-06,1,1,1,1,1,0,0,20160425,20160705
2016-M34_B-Samedi-02,0,0,0,0,0,1,0,20160430,20160702
2016-M37_A-L-Ma-J-V-07,1,1,0,1,1,0,0,20160329,20160705
2016-M37_A-L-Ma-J-V-07-1101100,1,1,0,1,1,0,0,20160329,20160705
2016-M37_A-Mercredi-08,0,0,1,0,0,0,0,20160330,20160629
2016-M37_A-Mercredi-08-0010000,0,0,1,0,0,0,0,20160330,20160629
2016-M37_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M37_H-Semaine-03,1,1,1,1,1,0,0,20160411,20160708
2016-M40_A-Semaine-05,1,1,1,1,1,0,0,20160329,20160705
2016-M40_B-Samedi-06,0,0,0,0,0,1,0,20160402,20160702
2016-M40_H-Semaine-06,1,1,1,1,1,0,0,20160411,20160708
2016-M41_A-Semaine-01,1,1,1,1,1,0,0,20160329,20160708
2016-M41_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M42_A-Semaine-01,1,1,1,1,1,0,0,20160329,20160705
2016-M42_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M42_H-Semaine-01,1,1,1,1,1,0,0,20160411,20160708
2016-M43_A-Semaine-02,1,1,1,1,1,0,0,20160329,20160708
2016-M43_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M43_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M45_A-Semaine-01,1,1,1,1,1,0,0,20160329,20160705
2016-M45_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M45_C-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M45_B-Samedi-80,0,0,0,0,0,1,0,20160409,20160409
2016-M45_H-Semaine-02,1,1,1,1,1,0,0,20160411,20160708
2016-M46_A-Semaine-01,1,1,1,1,1,0,0,20160329,20160708
2016-M46_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M47_A-Semaine-01,1,1,1,1,1,0,0,20160329,20160708
2016-M47_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M47_C2-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M48_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160708
2016-M58_A-Semaine-01,1,1,1,1,1,0,0,20160401,20160708
2016-M58_B-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M69_A-Semaine-02,1,1,1,1,1,0,0,20160329,20160708
2016-M69_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-M69_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-M73_A2-Semaine-01,1,1,1,1,1,0,0,20160329,20160708
2016-M73_B2-Samedi-01,0,0,0,0,0,1,0,20160402,20160702
2016-M73_C2-Dimanche-01,0,0,0,0,0,0,1,20160403,20160703
2016-M83_A-Semaine-03,1,1,1,1,1,0,0,20160329,20160705
2016-M83_B-Samedi-03,0,0,0,0,0,1,0,20160402,20160702
2016-M83_H-Semaine-03,1,1,1,1,1,0,0,20160411,20160708
2016-MAFFJ_A-Semaine-18,1,1,1,1,1,0,0,20160329,20160708
2016-MAFFJ_B-Samedi-08,0,0,0,0,0,1,0,20160402,20160702
2016-MAFFJ_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-MAFFN_A-Lun-Mer-03,1,1,1,0,0,0,0,20160329,20160706
2016-MAFFN_A-Jeu-Ven-04,0,0,0,1,1,0,0,20160331,20160708
2016-MAFFN_A-Jeu-Ven-04-0001100,0,0,0,1,1,0,0,20160331,20160708
2016-MAFFN_B-Samedi-02,0,0,0,0,0,1,0,20160402,20160702
2016-MAFFN_C-Dimanche-02,0,0,0,0,0,0,1,20160403,20160703
2016-MAFFS_A-Semaine-04,1,1,1,1,1,0,0,20160329,20160408
2016-MAFFS_A-Semaine-04-0010000,0,0,1,0,0,0,0,20160329,20160408
2016-MAFFS_A-Semaine-04-1101100,1,1,0,1,1,0,0,20160329,20160408
2016-MAFFS_A-Semaine-05,1,1,1,1,1,0,0,20160425,20160705
2016-MAFFS_A-Semaine-05-0010000,0,0,1,0,0,0,0,20160425,20160705
2016-MAFFS_A-Semaine-05-1101100,1,1,0,1,1,0,0,20160425,20160705
