service_id,date,exception_type
2016-M01_B-Samedi-03,20160409,2
2016-M01_C-Dimanche-03,20160501,2
2016-M01_C-Dimanche-03,20160505,1
2016-M01_C-Dimanche-03,20160516,1
2016-M01_H-Lun-Mer-05,20160425,2
2016-M01_H-Lun-Mer-05,20160426,2
2016-M01_H-Lun-Mer-05,20160427,2
2016-M01_H-Lun-Mer-05,20160502,2
2016-M01_H-Lun-Mer-05,20160503,2
2016-M01_H-Lun-Mer-05,20160504,2
2016-M01_H-Lun-Mer-05,20160509,2
2016-M01_H-Lun-Mer-05,20160510,2
2016-M01_H-Lun-Mer-05,20160511,2
2016-M01_H-Lun-Mer-05,20160516,2
2016-M01_H-Lun-Mer-05,20160517,2
2016-M01_H-Lun-Mer-05,20160518,2
2016-M01_H-Lun-Mer-05,20160523,2
2016-M01_H-Lun-Mer-05,20160524,2
2016-M01_H-Lun-Mer-05,20160525,2
2016-M01_H-Lun-Mer-05,20160530,2
2016-M01_H-Lun-Mer-05,20160531,2
2016-M01_H-Lun-Mer-05,20160601,2
2016-M01_H-Lun-Mer-05,20160606,2
2016-M01_H-Lun-Mer-05,20160607,2
2016-M01_H-Lun-Mer-05,20160608,2
2016-M01_H-Lun-Mer-05,20160613,2
2016-M01_H-Lun-Mer-05,20160614,2
2016-M01_H-Lun-Mer-05,20160615,2
2016-M01_H-Lun-Mer-05,20160620,2
2016-M01_H-Lun-Mer-05,20160621,2
2016-M01_H-Lun-Mer-05,20160622,2
2016-M01_H-Lun-Mer-05,20160627,2
2016-M01_H-Lun-Mer-05,20160628,2
2016-M01_H-Lun-Mer-05,20160629,2
2016-M01_H-Lun-Mer-05,20160704,2
2016-M01_H-Lun-Mer-05,20160705,2
2016-M01_H-Jeu-Ven-06,20160428,2
2016-M01_H-Jeu-Ven-06-0001100,20160428,2
2016-M01_H-Jeu-Ven-06,20160429,2
2016-M01_H-Jeu-Ven-06-0001100,20160429,2
2016-M01_H-Jeu-Ven-06,20160505,2
2016-M01_H-Jeu-Ven-06-0001100,20160505,2
2016-M01_H-Jeu-Ven-06,20160506,2
2016-M01_H-Jeu-Ven-06-0001100,20160506,2
2016-M01_H-Jeu-Ven-06,20160512,2
2016-M01_H-Jeu-Ven-06-0001100,20160512,2
2016-M01_H-Jeu-Ven-06,20160513,2
2016-M01_H-Jeu-Ven-06-0001100,20160513,2
2016-M01_H-Jeu-Ven-06,20160519,2
2016-M01_H-Jeu-Ven-06-0001100,20160519,2
2016-M01_H-Jeu-Ven-06,20160520,2
2016-M01_H-Jeu-Ven-06-0001100,20160520,2
2016-M01_H-Jeu-Ven-06,20160526,2
2016-M01_H-Jeu-Ven-06-0001100,20160526,2
2016-M01_H-Jeu-Ven-06,20160527,2
2016-M01_H-Jeu-Ven-06-0001100,20160527,2
2016-M01_H-Jeu-Ven-06,20160602,2
2016-M01_H-Jeu-Ven-06-0001100,20160602,2
2016-M01_H-Jeu-Ven-06,20160603,2
