stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,stop_url,stop_code,location_type,parent_station
1,Granet,44.769703,-0.641292,,33192,,GRA43R,0,GRANE
2,Brignon,44.775474,-0.575073,,33550,,BRI21A,0,BRIGN
5,Verts Coteaux,44.834906,-0.512627,,33167,,VRT06A,0,VERTC
7,Bertin,44.815884,-0.565617,,33063,,BER23R,0,BERTI
8,Chemin Long,44.829073,-0.663634,,33281,,CLO49R,0,CLONG
9,Clos des Bruyères,44.815337,-0.691634,,33281,,BRU75A,0,BRUYE
10,Mairie du Taillan Médoc,44.904876,-0.668992,,33519,,LIB55A,0,LIB55
13,Chateaubriand,44.900524,-0.732244,,33449,,CHA53R,0,CHABRI
14,Ste Christine,44.88028,-0.685284,,33200,,SCR53R,0,SCRIST
16,La Morandière (av. de Magudas),44.858065,-0.678173,,33281,,MOR82R,0,MORAND
17,Gambetta,44.841092,-0.580139,,33063,,GAM04R,0,GAMBT1
18,Franklin,44.79899,-0.587253,,33522,,FRA34A,0,FRANKL
21,Churchill,44.833764,-0.627587,,33281,,CHU12A,0,CHURCH
22,Pacaris,44.796945,-0.579984,,33522,,PAC34R,0,PACARI
26,Monbalon 2,44.803493,-0.666675,,33318,,MON23A,0,MONBA
30,Bobet,44.783007,-0.593231,,33192,,BOB41R,0,BOBET
31,Gare Routière (av. du Gal de Gaulle),44.896636,-0.721865,,33449,,GRO53R,0,GROUTE
32,Château Rouquey,44.828015,-0.669745,,33281,,ROU49R,0,CHROUQ
34,Place des 2 Villes (vers Buttinière),44.864356,-0.519502,,33249,,P2V32R,0,P2VIL
36,Russel,44.828613,-0.518389,,33167,,RUS06R,0,RUSSE
38,Grands Moulins,44.853854,-0.5538,,33063,,MOU03R,0,MOULI
39,Fraternité,44.818485,-0.615255,,33318,,FRA47R,0,FRAT47
41,Les Cares,44.888348,-0.660748,,33162,,CAR55A,0,CARES
44,Les Airelles,44.766464,-0.595324,,33192,,AIR80A,0,AIREL
49,Chemin de Suzon,44.811334,-0.582344,,33522,,CSZ40R,0,CSUZO
50,Clavé,44.79087,-0.656447,,33318,,AHL44R,0,HLEVQU
51,Martouret,44.836653,-0.511508,,33167,,MAR06A,0,MARTO
52,Roux,44.874558,-0.697723,,33449,,ROU53R,0,ROUX
53,Breteil,44.880008,-0.647957,,33162,,BRE52A,0,BRETEI
59,Granet,44.769895,-0.641204,,33192,,GRA43A,0,GRANE
61,Bernède,44.878253,-0.677925,,33200,,BER52R,0,BERNED
64,Durcy,44.79943,-0.544168,,33039,,DUR23R,0,DURCY
65,Perrin,44.780201,-0.651198,,33318,,PER44R,0,PERRIN
66,Piscine Galin,44.846575,-0.54214,,33063,,PGA80A,0,PGALIN
68,Nouaux,44.855053,-0.530068,,33119,,NOU08A,0,NOUAU
69,Poincaré,44.861858,-0.592945,,33069,,POI57A,0,POINC
71,Verdot,44.863067,-0.484117,,33013,,VER64A,0,VERDOT
72,Violettes,44.860702,-0.637832,,33162,,VIO52A,0,VIOLET
