route_id,service_id,trip_id,trip_headsign,block_id,direction_id
59,2016-TAVRIL_B-Samedi-06,10830706-2016-TAVRIL_B-Samedi-06,"Le Haillan Rostand",1969986,0
59,2016-TAVRIL_B-Samedi-06,10830707-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969989,0
59,2016-TAVRIL_B-Samedi-06,10830708-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969979,0
59,2016-TAVRIL_B-Samedi-06,10830709-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969992,0
59,2016-TAVRIL_B-Samedi-06,10830710-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969983,0
59,2016-TAVRIL_B-Samedi-06,10830711-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969999,0
59,2016-TAVRIL_B-Samedi-06,10830712-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969995,0
59,2016-TAVRIL_B-Samedi-06,10830713-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969987,0
59,2016-TAVRIL_B-Samedi-06,10830714-2016-TAVRIL_B-Samedi-06,"Pin Galant",1970003,0
59,2016-TAVRIL_B-Samedi-06,10830715-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969978,0
59,2016-TAVRIL_B-Samedi-06,10830716-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969981,0
59,2016-TAVRIL_B-Samedi-06,10830717-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969998,0
59,2016-TAVRIL_B-Samedi-06,10830718-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969993,0
59,2016-TAVRIL_B-Samedi-06,10830719-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969977,0
59,2016-TAVRIL_B-Samedi-06,10830720-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969986,0
59,2016-TAVRIL_B-Samedi-06,10830721-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969997,0
59,2016-TAVRIL_B-Samedi-06,10830722-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969980,0
59,2016-TAVRIL_B-Samedi-06,10830723-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969996,0
59,2016-TAVRIL_B-Samedi-06,10830724-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969994,0
59,2016-TAVRIL_B-Samedi-06,10830725-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969984,0
59,2016-TAVRIL_B-Samedi-06,10830726-2016-TAVRIL_B-Samedi-06,"Pin Galant",1970000,0
59,2016-TAVRIL_B-Samedi-06,10830727-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969985,0
59,2016-TAVRIL_B-Samedi-06,10830728-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969990,0
59,2016-TAVRIL_B-Samedi-06,10830729-2016-TAVRIL_B-Samedi-06,"Pin Galant",1970002,0
59,2016-TAVRIL_B-Samedi-06,10830730-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969991,0
59,2016-TAVRIL_B-Samedi-06,10830731-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969982,0
59,2016-TAVRIL_B-Samedi-06,10830732-2016-TAVRIL_B-Samedi-06,"Pin Galant",1970001,0
59,2016-TAVRIL_B-Samedi-06,10830733-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969988,0
59,2016-TAVRIL_B-Samedi-06,10830734-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969989,0
59,2016-TAVRIL_B-Samedi-06,10830735-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969979,0
59,2016-TAVRIL_B-Samedi-06,10830736-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969992,0
59,2016-TAVRIL_B-Samedi-06,10830737-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969983,0
59,2016-TAVRIL_B-Samedi-06,10830738-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969999,0
59,2016-TAVRIL_B-Samedi-06,10830739-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969995,0
59,2016-TAVRIL_B-Samedi-06,10830740-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969987,0
59,2016-TAVRIL_B-Samedi-06,10830741-2016-TAVRIL_B-Samedi-06,"Pin Galant",1970003,0
59,2016-TAVRIL_B-Samedi-06,10830742-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969978,0
59,2016-TAVRIL_B-Samedi-06,10830743-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969981,0
59,2016-TAVRIL_B-Samedi-06,10830744-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969998,0
59,2016-TAVRIL_B-Samedi-06,10830745-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969993,0
59,2016-TAVRIL_B-Samedi-06,10830746-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969977,0
59,2016-TAVRIL_B-Samedi-06,10830747-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969986,0
59,2016-TAVRIL_B-Samedi-06,10830748-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969997,0
59,2016-TAVRIL_B-Samedi-06,10830749-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969980,0
59,2016-TAVRIL_B-Samedi-06,10830750-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969996,0
59,2016-TAVRIL_B-Samedi-06,10830751-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969984,0
59,2016-TAVRIL_B-Samedi-06,10830752-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969985,0
59,2016-TAVRIL_B-Samedi-06,10830753-2016-TAVRIL_B-Samedi-06,"Pin Galant",1969988,0
59,2016-TAVRIL_B-Samedi-06,10830754-2016-TAVRIL_B-Samedi-06,"Le Haillan Rostand",1969980,0
59,2016-TAVRIL_B-Samedi-06,10830755-2016-TAVRIL_B-Samedi-06,"Le Haillan Rostand",1969994,0
59,2016-TAVRIL_B-Samedi-06,10830756-2016-TAVRIL_B-Samedi-06,"Le Haillan Rostand",1969996,0
59,2016-TAVRIL_B-Samedi-06,10830757-2016-TAVRIL_B-Samedi-06,"Le Haillan Rostand",1970000,0
